,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
682,San Pietro Rooms 84,"9,3",Eccellente ,1.361 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 172,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera King,Configurazione camera non disponibile,"Camera King2 letti (1 singolo, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
683,Lifestyle Veneto Suite,"8,9",Favoloso ,232 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 189,"1,8 km dal centro","Via Veneto, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
684,San Pietro Suite Rome,"8,0",Ottimo ,188 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 265,"2,3 km dal centro","Aurelio, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale largeColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
685,NH Collection Roma Giustiniano,"8,7",Favoloso ,1.370 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 312,"1,9 km dal centro","Vaticano Prati, Roma",4.0,,Camera Matrimoniale Premium XL,Configurazione camera non disponibile,Camera Matrimoniale Premium XL1 letto matrimoniale
686,New Luxury Rooms,"9,7",Eccezionale ,295 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 164,3 km dal centro,"Vaticano Prati, Roma",,4.0,Camera King Superior ,Configurazione camera non disponibile,Camera King Superior 1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
687,Campo de' Fiori 34,"9,0",Eccellente ,1.084 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 245,"0,8 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
688,Your Vatican Suite,"8,7",Favoloso ,1.021 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 179,"3,1 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Deluxe con Balcone,Configurazione camera non disponibile,"Camera Matrimoniale Deluxe con Balcone2 letti (1 singolo, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
689,SuiteSistina for Brave Lovers,"9,1",Eccellente ,1.767 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 255,"1,1 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale largeRestano solo 4 camere a questo prezzo sul nostro sito
690,Decimo Meridio- At Spanish Steps-,"9,1",Eccellente ,126 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 239,"1,2 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
691,Petra Apartments,"9,4",Eccellente ,353 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 345,"1,5 km dal centro","Colosseo, Roma",,4.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 50 m²,Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 50 m²1 letto matrimonialeCancellazione gratuitaNe restano solo 2 a questo prezzo sul nostro sito
692,The Republic,"8,7",Favoloso ,1.053 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 316,"1,7 km dal centro","Stazione Termini, Roma",4.0,,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe Vari tipi di lettoColazione inclusaRestano solo 6 camere a questo prezzo sul nostro sito
693,Vatican Grand Suite,"7,6",Buono ,847 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 164,2 km dal centro,"Vaticano Prati, Roma",,3.0,Camera Tripla Executive,Configurazione camera non disponibile,"Camera Tripla Executive2 letti (1 singolo, 1 matrimoniale)Colazione inclusaResta solo 1 camera a questo prezzo sul nostro sito"
694,Roma Palace,"7,2",Buono ,981 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 142,"1,5 km dal centro","Stazione Termini, Roma",1.0,,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
695,AlbaDomus Affittacamere o GuestHouse,"7,9",Buono ,444 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 250,"4,2 km dal centro","Nomentano, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 2 camere a questo prezzo sul nostro sito
696,Antica Dimora De Michaelis,"7,9",Buono ,576 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 154,1 km dal centro,"Piazza Navona, Roma",,4.0,Camera Quadrupla,Configurazione camera non disponibile,"Camera Quadrupla2 letti (1 divano letto, 1 matrimoniale)Restano solo 2 camere a questo prezzo sul nostro sito"
697,Hilton Rome Eur La Lama,"8,6",Favoloso ,1.969 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 172,"7,3 km dal centro","Eur, Roma",4.0,,Camera King con Accesso Disabili ,Configurazione camera non disponibile,Camera King con Accesso Disabili 1 letto matrimoniale large
698,Kolbe Hotel Rome,"8,9",Favoloso ,426 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 266,"0,7 km dal centro","Colosseo, Roma",4.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
699,Hotel Nardizzi Americana,"8,4",Ottimo ,1.379 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 240,"1,2 km dal centro","Stazione Termini, Roma",2.0,,Camera Tripla,Configurazione camera non disponibile,Camera TriplaVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
700,Hotel Positano 2 MIMOSA,"7,6",Buono ,27 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 173,"1,8 km dal centro","Stazione Termini, Roma",,,Camera Quadrupla con Vasca,Configurazione camera non disponibile,"Camera Quadrupla con Vasca3 letti (2 singoli, 1 matrimoniale)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
701,Hotel Marcantonio,"7,8",Buono ,1.468 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 180,"1,4 km dal centro","Stazione Termini, Roma",2.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
702,Hotel Buenos Aires,"7,7",Buono ,998 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 165,"3,2 km dal centro",Roma,3.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseRestano solo 3 camere a questo prezzo sul nostro sito
703,Hotel IMPERATORI,"7,5",Buono ,697 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 96,"10,5 km dal centro","Tiburtino, Roma",4.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 3 camere a questo prezzo sul nostro sito
704,Navona Nice Room,"7,9",Buono ,567 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 174,"1,3 km dal centro","Piazza Navona, Roma",,3.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
705,Almaìt,"8,4",Ottimo ,683 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 243,"0,5 km dal centro","Pantheon, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale largeCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
706,Casa Cecilia,"9,1",Eccellente ,542 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 151,"2,2 km dal centro","San Giovanni, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale DeluxeVari tipi di letto • Culla gratuita sempre disponibileCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
707,"Rome Cavalieri, A Waldorf Astoria Hotel","8,9",Favoloso ,795 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 1.620,4 km dal centro,"Trionfale, Roma",5.0,,Suite Alcove,Suite privata,Suite AlcoveSuite privata1 letto matrimoniale largeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaNe restano solo 3 a questo prezzo sul nostro sito
708,Lighthouse Suites Trastevere,"8,9",Favoloso ,385 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 165,"2,1 km dal centro","Gianicolense, Roma",,4.0,Junior Suite con Vista Giardino,Suite privata • 2 camere da letto • 2 bagni,Junior Suite con Vista GiardinoSuite privata • 2 camere da letto • 2 bagni4 letti singoliNe resta solo 1 a questo prezzo sul nostro sito
709,Hotel Genio,"7,7",Buono ,530 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 213,1 km dal centro,"Piazza Navona, Roma",4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusa
710,Castel Sant'Angelo Inn,"8,6",Favoloso ,500 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 173,"1,3 km dal centro","Vaticano Prati, Roma",,4.0,Camera Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Doppia con Letti Singoli1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
711,Hotel Santa Costanza by OMNIA hotels,"7,5",Buono ,462 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 228,4 km dal centro,"Nomentano, Roma",4.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla francese
712,Domus Sant'Angelo,"8,9",Favoloso ,110 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 401,"1,4 km dal centro","Piazza Navona, Roma",,4.0,Appartamento con 2 Camere da Letto,Configurazione camera non disponibile,"Appartamento con 2 Camere da Letto3 letti (1 matrimoniale grande, 1 divano letto, 1 matrimoniale)Cancellazione gratuita"
713,DANY GUEST HOUSE,"9,2",Eccellente ,1.062 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 173,"1,4 km dal centro","Rione Monti, Roma",,4.0,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti Singoli1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
714,DEM Hotel,"7,6",Buono ,1.385 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,1 km dal centro,"Rione Monti, Roma",,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
715,Trevi Fountain Luxury Guest House,"9,6",Eccezionale ,62 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 445,"0,6 km dal centro","Trevi, Roma",,4.0,Appartamento con Balcone,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 85 m²,"Appartamento con BalconeIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 85 m²3 letti (1 divano letto, 2 matrimoniali)"
716,Relais Fontana Di Trevi Hotel,"8,4",Ottimo ,1.686 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 275,"0,6 km dal centro","Trevi, Roma",3.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseRestano solo 3 camere a questo prezzo sul nostro sito
717,Vatican Rooms Haven,"7,2",Buono ,204 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 117,"2,1 km dal centro","Aurelio, Roma",,3.0,Suite,Suite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 20 m²,"SuiteSuite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 20 m²2 letti (1 singolo, 1 matrimoniale)Colazione inclusaNe restano solo 3 a questo prezzo sul nostro sito"
718,Residenza Tritone Luxury Guest House Trevi Fountain,"8,3",Ottimo ,254 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 313,"0,7 km dal centro","Spagna, Roma",,4.0,Ampia Camera Matrimoniale,Configurazione camera non disponibile,"Ampia Camera Matrimoniale3 letti (2 singoli, 1 matrimoniale grande)Restano solo 2 camere a questo prezzo sul nostro sito"
719,AnnoDomini,"9,0",Eccellente ,1.004 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 118,"3,7 km dal centro","Aurelio, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
720,Hotel La Place Roma,"8,8",Favoloso ,489 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 289,"0,9 km dal centro","Spagna, Roma",4.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale largeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
721,Trastevere Luxury Rooms,"9,6",Eccezionale ,229 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 181,2 km dal centro,"Gianicolense, Roma",,4.0,Camera Queen Superior,Configurazione camera non disponibile,Camera Queen Superior1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
722,Antica Dimora Delle Cinque Lune,"7,9",Buono ,1.656 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 170,1 km dal centro,"Piazza Navona, Roma",3.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
723,Flowers Apartments,"7,3",Buono ,750 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 213,"0,8 km dal centro","Piazza Navona, Roma",,3.0,Camera Economy Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Economy Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
724,Umiltà 36,"9,6",Eccezionale ,1.948 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 740,400 m dal centro,"Trevi, Roma",5.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale largeColazione inclusaCancellazione gratuita
725,The Cicer One,"9,2",Eccellente ,477 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 172,"1,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Deluxe (2 Adulti + 1 Bambino),Configurazione camera non disponibile,Camera Deluxe (2 Adulti + 1 Bambino)1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
726,nhow Roma,"8,3",Ottimo ,840 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 250,"1,7 km dal centro","Via Veneto, Roma",4.0,,Camera Nhow ,Configurazione camera non disponibile,Camera Nhow Letti: 1 matrimoniale o 2 singoli
727,Evergreen,"8,9",Favoloso ,554 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 120,2 km dal centro,"Stazione Termini, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
728,Relais Palazzo Taverna,"7,7",Buono ,597 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 135,"1,2 km dal centro","Piazza Navona, Roma",,3.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
729,Sangiò Guest House,"7,8",Buono ,551 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 208,"2,1 km dal centro","Rione Monti, Roma",,3.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
730,Hotel Aventino,"8,7",Favoloso ,1.036 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 241,"1,4 km dal centro","Aventino, Roma",3.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
731,DVE Suite Rome,"8,8",Favoloso ,517 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 146,"1,7 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
732,Hotel Best Roma,"7,1",Buono ,570 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 188,"2,4 km dal centro","Stazione Termini, Roma",4.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,"Camera Matrimoniale Piccola2 letti (1 matrimoniale alla francese, 1 matrimoniale)Colazione inclusaRestano solo 4 camere a questo prezzo sul nostro sito"
733,iH Hotels Roma Z3,"7,0",Buono ,1.076 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 194,"7,2 km dal centro",Roma,4.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusa
734,Rometobe,"9,1",Eccellente ,360 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 298,"2,9 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera MatrimonialeLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
735,Hotel Virgilio,"8,6",Favoloso ,3.311 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 163,"0,9 km dal centro","Rione Monti, Roma",3.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale ClassicLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
736,"GCF Luxury Suites, Guest house","9,2",Eccellente ,591 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 272,"1,6 km dal centro","Spagna, Roma",,4.0,Camera Tripla Luxury,Configurazione camera non disponibile,"Camera Tripla Luxury2 letti (1 singolo, 1 matrimoniale grande)Colazione inclusaResta solo 1 camera a questo prezzo sul nostro sito"
737,La Casa Di Amy,"8,9",Favoloso ,2.591 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 163,"1,5 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
738,Spazio Cavour Guesthouse,"7,8",Buono ,485 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 148,"1,4 km dal centro","Vaticano Prati, Roma",,4.0,Camera Deluxe (2 Adulti + 1 Bambino),Configurazione camera non disponibile,Camera Deluxe (2 Adulti + 1 Bambino)1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
739,Affittacamere Casalí,"9,5",Eccezionale ,287 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 221,"1,7 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,"Camera Matrimoniale con Bagno Privato2 letti (1 divano letto, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
740,Trevi 41 Hotel,"7,8",Buono ,1.746 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 210,"0,7 km dal centro","Trevi, Roma",3.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli - Dependance,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti Singoli - DependanceLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 2 camere a questo prezzo sul nostro sito
741,Roma Naif Rooms,"7,9",Buono ,406 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 113,"2,2 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
742,Residenza Frattina,"8,5",Ottimo ,728 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 210,"0,9 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaRestano solo 6 camere a questo prezzo sul nostro sito
743,Hotel Principessa Isabella,"7,9",Buono ,1.555 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 193,"1,8 km dal centro","Via Veneto, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 5 camere a questo prezzo sul nostro sito
744,Parisii Bocca di Leone 88,"9,4",Eccellente ,332 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 375,1 km dal centro,"Spagna, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
745,Hotel Della Torre Argentina,"8,6",Favoloso ,4.397 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 294,"0,6 km dal centro","Pantheon, Roma",3.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale SuperiorLetti: 1 matrimoniale o 2 singoliRestano solo 5 camere a questo prezzo sul nostro sito
746,Guest House Masterintrastevere,"9,1",Eccellente ,484 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 131,"2,6 km dal centro","Portuense, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale largeResta solo 1 camera a questo prezzo sul nostro sito
747,Suitedream Vatican,"9,1",Eccellente ,659 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 121,"2,3 km dal centro","Aurelio, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
748,Le Vie del Vaticano,"8,9",Favoloso ,130 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 144,"3,4 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
749,Hotel Des Artistes Roma,"8,6",Favoloso ,1.528 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 210,"2,1 km dal centro","Stazione Termini, Roma",3.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera MatrimonialeLetti: 1 matrimoniale o 2 singoliRestano solo 4 camere a questo prezzo sul nostro sito
750,Hotel Diplomatic,"8,2",Ottimo ,2.219 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 218,"1,3 km dal centro","Vaticano Prati, Roma",3.0,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale • Culla gratuita sempre disponibileRestano solo 4 camere a questo prezzo sul nostro sito
751,Hotel Balilla,"8,8",Favoloso ,830 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 160,"2,4 km dal centro","Stazione Termini, Roma",3.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 5 camere a questo prezzo sul nostro sito
752,Gemini Suites Navona,"8,8",Favoloso ,811 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 157,1 km dal centro,"Piazza Navona, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
753,Magenta Campo dei Fiori,"8,6",Favoloso ,616 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 178,250 m dal centro,"Pantheon, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
754,AD Vatican Luxury Rooms - by AD Roma,"9,1",Eccellente ,138 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 152,"1,7 km dal centro","Vaticano Prati, Roma",,4.0,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 2 camere a questo prezzo sul nostro sito
755,Hotel Fellini,"8,5",Ottimo ,2.282 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 169,"0,8 km dal centro","Trevi, Roma",3.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseRestano solo 2 camere a questo prezzo sul nostro sito
756,Casa Fabbrini Boutique B&B,"8,9",Favoloso ,330 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 170,"1,3 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
757,Tiber Suite,"9,2",Eccellente ,136 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 103,"12,8 km dal centro",Roma,,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli1 letto matrimoniale
758,Via Del Corso Home Roma,"8,7",Favoloso ,1.482 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 213,150 m dal centro,"Pantheon, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
