,titolo,titolo_processed,zona,zona_processed,città,distanza_centro,prezzo,numero_notti,numero_persone,inizio_permanenza,fine_permanenza,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,indirizzo,valutazione,inizio_permanenza_datetime,fine_permanenza_datetime
0,Raeli Hotel Lazio,hotel lazio raeli,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,159,1.0,2.0,01-08-25,02-08-25,"7,7",Ottimo,321.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
1,Raeli Hotel Noto,hotel noto raeli,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,153,1.0,2.0,01-08-25,02-08-25,"7,8",Ottimo,2391.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
2,Hotel King,hotel king,Via Veneto,via veneto, Roma ,0.0,169,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,2109.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Via Veneto, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
3,Rome Cavalieri A Waldorf Astoria Hotel,a astoria cavalieri hotel waldorf,Trionfale,trionfale, Roma ,1.2,1620,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,1161.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Trionfale, Roma - A 1,2 km dal centro",5.0,2025-01-08,2025-02-08
4,Hotel Taormina,hotel taormina,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,105,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,1541.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",2.0,2025-01-08,2025-02-08
5,B&B Hotel Roma Tuscolana San Giovanni,b b giovanni hotel san tuscolana,Appio Latino,appio latino, Roma ,1.6,95,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,1064.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Appio Latino, Roma - A 1,6 km dal centro",3.0,2025-01-08,2025-02-08
6,Sonder by Marriott Bonvoy Piazza Venezia Apartments,apartments bonvoy by marriott piazza sonder venezia,Pantheon,pantheon, Roma ,0.0,228,1.0,2.0,01-08-25,02-08-25,"9,2",Eccezionale,4.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Pantheon, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
7,Hotel American Palace Eur,american eur hotel palace,Eur e Garbatella,eur garbatella, Roma ,6.2,105,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,7282.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Eur e Garbatella, Roma - A 6,2 km dal centro",4.0,2025-01-08,2025-02-08
8,hu Roma Camping in town,camping hu in town,Aurelio e Monteverde,aurelio monteverde, Roma ,4.5,69,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,18989.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aurelio e Monteverde, Roma - A 4,5 km dal centro",4.0,2025-01-08,2025-02-08
9,B&B Hotel Roma Fiumicino Aeroporto Fiera 2,2 aeroporto b b fiera fiumicino hotel,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,17.2,100,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,6546.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 17,2 km dal centro",3.0,2025-01-08,2025-02-08
10,Ibis Roma Fiera,fiera ibis,Roma Ovest,ovest, Roma ,9.3,96,1.0,2.0,01-08-25,02-08-25,"7,6",Ottimo,5166.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Roma Ovest, Roma - A 9,3 km dal centro",3.0,2025-01-08,2025-02-08
11,B&B Hotel Roma Fiumicino,b b fiumicino hotel,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,17.2,98,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,6308.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 17,2 km dal centro",3.0,2025-01-08,2025-02-08
12,AH ROMA,ah,Roma Nord,nord, Roma ,7.2,88,1.0,2.0,01-08-25,02-08-25,"7,2",Ottimo,866.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Roma Nord, Roma - A 7,2 km dal centro",3.0,2025-01-08,2025-02-08
13,Hotel Roma Tor Vergata,hotel tor vergata,Roma Est,est, Roma ,10.3,105,1.0,2.0,01-08-25,02-08-25,"7,8",Ottimo,2086.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Roma Est, Roma - A 10,3 km dal centro",4.0,2025-01-08,2025-02-08
14,Hotel Gambrinus,gambrinus hotel,Via Veneto,via veneto, Roma ,0.0,128,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,864.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Via Veneto, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
15,Hilton Rome Airport Hotel,airport hilton hotel,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,20.4,250,1.0,2.0,01-08-25,02-08-25,"7,6",Ottimo,11241.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 20,4 km dal centro",4.0,2025-01-08,2025-02-08
16,Giglio Dell'opera Hotel,dell giglio hotel opera,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,87,1.0,2.0,01-08-25,02-08-25,"6,9",Buono,2955.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
17,Maison delle Naiadi Guest House,delle guest house maison naiadi,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,110,1.0,2.0,01-08-25,02-08-25,"8,6",Fantastico,482.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
18,Hotel Nord Nuova Roma,hotel nord nuova,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,198,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,7083.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
19,Corot Hotel,corot hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,119,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,1051.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
20,Hotel Oriente,hotel oriente,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,80,1.0,2.0,01-08-25,02-08-25,"7,2",Ottimo,444.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",2.0,2025-01-08,2025-02-08
21,Raeli Hotel Siracusa,hotel raeli siracusa,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,160,1.0,2.0,01-08-25,02-08-25,"7,7",Ottimo,4169.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
22,The Kennedy Hotel,hotel kennedy the,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,117,1.0,2.0,01-08-25,02-08-25,"7,6",Ottimo,1260.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
23,Raeli Hotel Archimede,archimede hotel raeli,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,112,1.0,2.0,01-08-25,02-08-25,"7,6",Ottimo,334.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
24,Hotel Villa Rosa,hotel rosa villa,Trastevere,trastevere, Roma ,1.5,113,1.0,2.0,01-08-25,02-08-25,"7,6",Ottimo,468.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Trastevere, Roma - A 1,5 km dal centro",3.0,2025-01-08,2025-02-08
25,Air Rooms Rome Airport by HelloSky,air airport by hellosky rooms,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,20.5,238,1.0,2.0,01-08-25,02-08-25,"8,0",Fantastico,749.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 20,5 km dal centro",4.0,2025-01-08,2025-02-08
26,Hotel Nazionale,hotel nazionale,Pantheon,pantheon, Roma ,0.0,167,1.0,2.0,01-08-25,02-08-25,"9,2",Eccezionale,3632.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Pantheon, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
27,Hotel Raganelli,hotel raganelli,Aurelio e Monteverde,aurelio monteverde, Roma ,3.6,92,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,1250.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aurelio e Monteverde, Roma - A 3,6 km dal centro",4.0,2025-01-08,2025-02-08
28,Trevi Hotel,hotel trevi,Fontana di Trevi,trevi, Roma ,0.0,154,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,2050.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Fontana di Trevi, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
29,Adriatic Hotel,adriatic hotel,Città del Vaticano,vaticano, Roma ,0.0,105,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,992.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Città del Vaticano, Roma - In pieno centro",2.0,2025-01-08,2025-02-08
30,Quirinale Hotel,hotel quirinale,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,201,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,8240.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
31,Roma Resort Termini,resort termini,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,115,1.0,2.0,01-08-25,02-08-25,"7,0",Ottimo,807.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
32,Hotel Isola Sacra Rome Airport,airport hotel isola sacra,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,21.6,213,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,8292.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 21,6 km dal centro",4.0,2025-01-08,2025-02-08
33,Locanda Delle Corse,corse delle locanda,Appio Latino,appio latino, Roma ,8.7,224,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,62.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Appio Latino, Roma - A 8,7 km dal centro",3.0,2025-01-08,2025-02-08
34,Hotel Artis,artis hotel,Appio Latino,appio latino, Roma ,6.0,85,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,446.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Appio Latino, Roma - A 6,0 km dal centro",4.0,2025-01-08,2025-02-08
35,Hotel Villafranca,hotel villafranca,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,162,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,1956.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
36,Genova Hotel,genova hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,179,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,2602.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
37,Family House Hotel,family hotel house,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,76,1.0,2.0,01-08-25,02-08-25,"7,1",Ottimo,480.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",1.0,2025-01-08,2025-02-08
38,Hotel Ripa Roma,hotel ripa,Trastevere,trastevere, Roma ,0.5,122,1.0,2.0,01-08-25,02-08-25,"8,2",Fantastico,3462.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Trastevere, Roma - A 0,5 km dal centro",4.0,2025-01-08,2025-02-08
39,Hotel Tiber,hotel tiber,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,23.9,156,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,4909.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 23,9 km dal centro",4.0,2025-01-08,2025-02-08
40,LH Hotel Roma Montemario,hotel lh montemario,Trionfale,trionfale, Roma ,3.0,75,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,3973.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Trionfale, Roma - A 3,0 km dal centro",4.0,2025-01-08,2025-02-08
41,Hilton Garden Inn Rome Airport,airport garden hilton inn,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,18.8,191,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,329.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 18,8 km dal centro",4.0,2025-01-08,2025-02-08
42,Grand Hotel Fleming by OMNIA hotels,by fleming grand hotel hotels omnia,Flaminio e Parioli,flaminio parioli, Roma ,3.2,121,1.0,2.0,01-08-25,02-08-25,"7,8",Ottimo,2798.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Flaminio e Parioli, Roma - A 3,2 km dal centro",4.0,2025-01-08,2025-02-08
43,Hotel Napoleon,hotel napoleon,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,122,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,1187.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
44,Hotel Champagne Palace,champagne hotel palace,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,151,1.0,2.0,01-08-25,02-08-25,"6,8",Buono,1557.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
45,SOTEL NOMENTANA,nomentana sotel,Roma Est,est, Roma ,5.3,74,1.0,2.0,01-08-25,02-08-25,"6,8",Buono,1550.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Roma Est, Roma - A 5,3 km dal centro",3.0,2025-01-08,2025-02-08
46,Windrose Hotel,hotel windrose,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,169,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,506.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
47,Gialel B&B,b b gialel,Via Veneto,via veneto, Roma ,0.0,91,1.0,2.0,01-08-25,02-08-25,"7,3",Ottimo,152.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Via Veneto, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
48,Hotel Relais Castrum Boccea,boccea castrum hotel relais,Boccea,boccea, Roma ,13.1,156,1.0,2.0,01-08-25,02-08-25,"8,0",Fantastico,705.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Boccea, Roma - A 13,1 km dal centro",4.0,2025-01-08,2025-02-08
49,Hotel Varese,hotel varese,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,150,1.0,2.0,01-08-25,02-08-25,"8,7",Fantastico,3121.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
50,Hotel Agora,agora hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,92,1.0,2.0,01-08-25,02-08-25,"7,5",Ottimo,2638.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
51,Torino Hotel,hotel torino,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,112,1.0,2.0,01-08-25,02-08-25,"7,0",Ottimo,2016.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
52,Hotel Igea,hotel igea,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,139,1.0,2.0,01-08-25,02-08-25,"7,7",Ottimo,3916.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
53,THE INDEPENDENT HOTEL,hotel independent the,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,162,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,2496.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
54,Isa Fiumicino Airport Residence,airport fiumicino isa residence,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,23.3,102,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,3230.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 23,3 km dal centro",3.0,2025-01-08,2025-02-08
55,Mercure Rome Leonardo da Vinci Airport,airport da leonardo mercure vinci,Aeroporto di Fiumicino,aeroporto fiumicino, Roma ,22.8,127,1.0,2.0,01-08-25,02-08-25,"8,0",Fantastico,9501.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Aeroporto di Fiumicino, Roma - A 22,8 km dal centro",4.0,2025-01-08,2025-02-08
56,Hotel Shangri-La Roma by OMNIA hotels,by hotel hotels la omnia shangri,Eur e Garbatella,eur garbatella, Roma ,7.2,199,1.0,2.0,01-08-25,02-08-25,"8,6",Fantastico,2139.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Eur e Garbatella, Roma - A 7,2 km dal centro",4.0,2025-01-08,2025-02-08
57,B&B Hotel Roma San Lorenzo Termini,b b hotel lorenzo san termini,Stazione centrale Roma Termini,stazione termini, Roma ,0.7,129,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,1883.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - A 0,7 km dal centro",3.0,2025-01-08,2025-02-08
58,Residenza Ki,ki residenza,Fontana di Trevi,trevi, Roma ,0.0,166,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,1593.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Fontana di Trevi, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
59,Hotel Cilicia,cilicia hotel,Appio Latino,appio latino, Roma ,1.1,110,1.0,2.0,01-08-25,02-08-25,"7,6",Ottimo,168.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Appio Latino, Roma - A 1,1 km dal centro",3.0,2025-01-08,2025-02-08
60,Hotel Des Epoques,des epoques hotel,Nomentano,nomentano, Roma ,0.2,89,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,612.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Nomentano, Roma - A 0,2 km dal centro",4.0,2025-01-08,2025-02-08
61,Luxury Rooms H 2000 Roma,2000 h luxury rooms,Fontana di Trevi,trevi, Roma ,0.0,121,1.0,2.0,01-08-25,02-08-25,"7,5",Ottimo,206.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Fontana di Trevi, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
62,Aparthotel Colombo Roma,aparthotel colombo,Eur e Garbatella,eur garbatella, Roma ,1.6,172,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,78.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Eur e Garbatella, Roma - A 1,6 km dal centro",3.0,2025-01-08,2025-02-08
63,Hotel Sant'Angelo,angelo hotel sant,Città del Vaticano,vaticano, Roma ,0.0,144,1.0,2.0,01-08-25,02-08-25,"8,0",Fantastico,22.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Città del Vaticano, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
64,The Cross hotel,cross hotel the,Stazione centrale Roma Termini,stazione termini, Roma ,0.2,222,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,4188.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",4.0,2025-01-08,2025-02-08
65,Hotel Antico Acquedotto,acquedotto antico hotel,Roma Est,est, Roma ,1.8,81,1.0,2.0,01-08-25,02-08-25,"6,7",Buono,289.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Roma Est, Roma - A 1,8 km dal centro",3.0,2025-01-08,2025-02-08
66,Hotel Tempio Di Pallade,di hotel pallade tempio,Stazione centrale Roma Termini,stazione termini, Roma ,0.071,89,1.0,2.0,01-08-25,02-08-25,"7,8",Ottimo,1332.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - A 71 m dal centro",3.0,2025-01-08,2025-02-08
67,Guest House La Casa Di Amy,amy casa di guest house la,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,153,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,2743.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
68,Camplus Hotel Roma Centro,camplus centro hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,178,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,4074.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
69,Hotel Bolognese,bolognese hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,104,1.0,2.0,01-08-25,02-08-25,"6,9",Buono,813.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",2.0,2025-01-08,2025-02-08
70,Bettoja Massimo D'Azeglio Hotel,azeglio bettoja d hotel massimo,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,168,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,2116.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
71,Genio Hotel,genio hotel,Piazza Navona,navona, Roma ,0.0,146,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,432.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Piazza Navona, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
72,Hotel Caravel,caravel hotel,Eur e Garbatella,eur garbatella, Roma ,1.6,116,1.0,2.0,01-08-25,02-08-25,"8,2",Fantastico,1649.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Eur e Garbatella, Roma - A 1,6 km dal centro",4.0,2025-01-08,2025-02-08
73,Hotel St Martin by OMNIA hotels,by hotel hotels martin omnia st,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,159,1.0,2.0,01-08-25,02-08-25,"8,7",Fantastico,1513.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
74,Noba Hotel e Residenze,e hotel noba residenze,Nomentano,nomentano, Roma ,3.2,117,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,1948.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Nomentano, Roma - A 3,2 km dal centro",3.0,2025-01-08,2025-02-08
75,Hotel Valle,hotel valle,Monti,monti, Roma ,0.0,114,1.0,2.0,01-08-25,02-08-25,"6,9",Buono,377.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Monti, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
76,BV Hotel Oly,bv hotel oly,Eur e Garbatella,eur garbatella, Roma ,3.3,130,1.0,2.0,01-08-25,02-08-25,"7,8",Ottimo,1745.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Eur e Garbatella, Roma - A 3,3 km dal centro",4.0,2025-01-08,2025-02-08
77,Hotel Pace Helvezia,helvezia hotel pace,Colosseo e Foro Romano,colosseo foro romano, Roma ,0.0,209,1.0,2.0,01-08-25,02-08-25,"8,2",Fantastico,689.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Colosseo e Foro Romano, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
78,Infinity Hotel St. Peter,hotel infinity peter st,Città del Vaticano,vaticano, Roma ,0.0,79,1.0,2.0,01-08-25,02-08-25,"8,2",Fantastico,44.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Città del Vaticano, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
79,LH Hotel Andreotti,andreotti hotel lh,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,108,1.0,2.0,01-08-25,02-08-25,"8,7",Fantastico,3714.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
80,Bettoja Atlantico Hotel,atlantico bettoja hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,504,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,1636.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
81,Hotel Farini,farini hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,105,1.0,2.0,01-08-25,02-08-25,"7,4",Ottimo,315.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",2.0,2025-01-08,2025-02-08
82,Hotel Piemonte,hotel piemonte,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,155,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,2021.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",3.0,2025-01-08,2025-02-08
83,Hotel Center 2,2 center hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.2,142,1.0,2.0,01-08-25,02-08-25,"6,9",Buono,3539.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",3.0,2025-01-08,2025-02-08
84,Colonna Palace Hotel,colonna hotel palace,Pantheon,pantheon, Roma ,0.0,203,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,840.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Pantheon, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
85,The Hive Hotel,hive hotel the,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,174,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,7787.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
86,Generator Rome,generator,Stazione centrale Roma Termini,stazione termini, Roma ,0.0,173,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,537.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - In pieno centro",4.0,2025-01-08,2025-02-08
87,Hotel Center 3,3 center hotel,Stazione centrale Roma Termini,stazione termini, Roma ,0.2,124,1.0,2.0,01-08-25,02-08-25,"7,3",Ottimo,1607.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",3.0,2025-01-08,2025-02-08
