,titolo_booking,prezzo_booking,indirizzo_booking,città_booking,numero_recensioni_booking,valutazione_booking
369,forum imperial relais,172,monti,Roma,1.0,4.0
370,139 merulana suites,151,monti,Roma,556.0,3.0
371,atlante hotel star,410,vaticano prati,Roma,1.0,
372,hotel pace teatro,213,navona,Roma,1.0,
373,hub social the,148,,Roma,319.0,
374,concept hotel terrace,277,trevi,Roma,1.0,
375,jacuzzi rooms,155,vaticano prati,Roma,817.0,4.0
376,conciliazione della hotel,312,vaticano prati,Roma,2.0,
377,navona queen rooftop,329,navona,Roma,1.0,4.0
378,boutique hotel liberty the,354,stazione termini,Roma,943.0,
379,boncompagni maison,217,centro,Roma,30.0,4.0
380,best globus hotel western,178,nomentano,Roma,2.0,
381,history suite,184,pantheon,Roma,683.0,4.0
382,metropole starhotels,262,stazione termini,Roma,2.0,
383,colosseo living suites,207,monti,Roma,163.0,4.0
384,auditorium mecenate,259,stazione termini,Roma,922.0,4.0
385,boutique galatea hotel,199,monti,Roma,1.0,
386,hotel palace trevi,239,monti,Roma,882.0,
387,56 accommodation luxury orange street,199,spagna,Roma,144.0,4.0
388,domna luxury suites,310,pantheon,Roma,261.0,4.0
389,hotel nord nuova,242,stazione termini,Roma,3.0,
390,hotel smeraldo,222,pantheon,Roma,2.0,
391,casa guesthouse mia,111,aurelio,Roma,406.0,
392,bar harrys hotel restaurant trevi,498,trevi,Roma,1.0,
393,hotel settembre xx,129,stazione termini,Roma,38.0,
394,hotel martis palace,473,navona,Roma,502.0,
395,boutique condotti hotel,311,spagna,Roma,2.0,
396,di la maison santanna,192,pantheon,Roma,721.0,4.0
397,al gruppo hotel hotels manthia trevi,203,trevi,Roma,794.0,
398,maison maneli,147,vaticano prati,Roma,308.0,4.0
399,aranci degli hotel,153,villa borghese/parioli,Roma,1.0,
400,allorologio,148,navona,Roma,606.0,4.0
401,dei hotel mellini,310,vaticano prati,Roma,292.0,
402,apartment meadows vatican,196,vaticano prati,Roma,11.0,4.0
403,h501 luxury rooms,237,via veneto,Roma,353.0,4.0
404,caterina domus santa,131,stazione termini,Roma,1.0,4.0
405,barberini dolce la vita,167,trevi,Roma,661.0,4.0
406,di garibaldi piazza spagna suites,225,spagna,Roma,423.0,4.0
407,504 corso suites,208,spagna,Roma,304.0,4.0
408,capranica private suites,346,pantheon,Roma,1.0,4.0
409,cavour inn relais,197,stazione termini,Roma,880.0,4.0
410,de medici parco sheraton,185,magliana vecchia,Roma,1.0,
411,hotel marriott park,200,magliana vecchia,Roma,2.0,
412,aureum convivium,186,trionfale,Roma,246.0,3.0
413,style the,410,spagna,Roma,1.0,
414,del portico relais,229,pantheon,Roma,426.0,4.0
415,albergo marechiaro,143,stazione termini,Roma,806.0,
416,clarisse le pantheon,289,pantheon,Roma,808.0,
417,esposizione luxury,244,monti,Roma,385.0,
418,code hotel the,249,spagna,Roma,1.0,
419,good life veneto via,216,via veneto,Roma,428.0,3.0
420,colosseo house,481,monti,Roma,207.0,4.0
421,9 di piazza spagna,518,spagna,Roma,341.0,4.0
422,33 laurina,215,spagna,Roma,282.0,4.0
